leißig,	diligently, hard-working
auskommen, 	to manage
verweigern, 	to refuse
drohen, 	to impede, threaten
jäh, 	sudden, precipitous, suddenly
nachbestelllen, 	to reorder, to order somemore
runtergehen, 	to go down; here: to lower the price
Lange macht die Bank das nict mehr mit,	idiomatisch: not tolerate any longer
müde Mark,	not the slightest Mark
Leasingraten,	Leasing rates
überziehen, 	to overdraw
auszahlen, 	to disperse, to pay out, to distribute a loan
auf den letzen Drücker,	the last button: ie, the last moment
überschreiten <überschritt, überschritten>, 	to exceed
ausdrucken, 	to print out
einfallen, 	to come to mind, to occur
sich etwas einfallen lassen,	to cook something up, come up with (an idea)
abbauen, 	to destroy, to reduce, to abolish, to phase out
etwas in den Griff kriegen, 	to get over something
kurzfristig, 	on short notice, last minute; Ausgaben ~ - last minute expenses
übersteigen, 	to exceed, to surpass
in Anspruch genommen, 	claim, demand, requirement;
in Anspruch nehmen, to use, to utilize, to make a draft on
langfristig, 	long-term
raten <rief, geraten >,	to guess,  to advise on smthg.
geraten,	to happen
Wir müssen den dazu kriegen,	we have to convince
binnen, 	within
umwandeln, 	to alter, convert
einlassen, 	to let in, admit, open the door
sich mit jdn. einlassen, 	to get involved with sb., to mess around with sb.
sich auf etw. einlassen, 	to get involved with sth., to mess around with sth.
einlenken, 	to take measures
stillschweigend, 	implicit, implied, tacit, silent
tatenlos, 	inactive
zusehen, 	to watch, to see,nicht tatenlos zusehen können, 	must take action, cannot look on without acting
jmdn./etw. gedenken,	to commermorate sth.
gedenken, etw. zu tun	to mean to do something
herunterkommen, 	to come down, to descend
unterkommen, 	to find accomodation
eintreffen,	to arrive, to reach
der Umsatz,	sales, turn-over, volume of sale
voraussichtlich, 	presumably, estimately
Liquiditätsplanung,	liquidity plan
vergehen,	pass (away), disappear, vanish
zurückführen, 	to reduce sth. to sth., to restore sth. to normaility
fähig sein,	to be due
hinweisen,	to allude, to suggest
umwandeln, 	to convert, to alter, to turn, to convert
einlassen,	to get involved with smthg.
das Grundstück,	property, building
etwas überstehen,	to survive, weather smthg.
Überweisung,	credit transfer
darstellbar,	representable
etw.Akk. auf die hohe Kante legen,	to save sth. for a rainy day; to save up for a rainy day
wagen, 	to venture, to hazard smth.
verbreiten, 	to spread, to distribute
verbreitet (adj.), 	widespread
sämtlich, 	complete
Wartung, 	maintenance
auftreiben, to rustle up, to scrape up; to come up with the money, das Geld auftreiben
schier,	 	mere, sheer, almost, just about
